insert_date,origin,destination,start_date,end_date,train_type,price,train_class,fare
2019-04-20T20:27:39Z,SEVILLA,MADRID,2019-05-03T19:19:00Z,2019-05-03T21:59:00Z,INTERCITY,62.2,Turista,Flexible
2019-04-15T23:13:21Z,BARCELONA,MADRID,2019-05-26T12:50:00Z,2019-05-26T15:45:00Z,AVE-TGV,80.15,Turista Plus,Promo
2019-04-19T15:18:54Z,PONFERRADA,MADRID,2019-05-18T11:28:00Z,2019-05-18T16:00:00Z,LD,34.2,Turista con enlace,Promo
2019-04-18T07:15:17Z,MADRID,VALENCIA,2019-05-16T14:10:00Z,2019-05-16T16:03:00Z,AVE,33.65,Turista,Promo
2019-05-02T21:06:46Z,MADRID,VALENCIA,2019-05-05T15:30:00Z,2019-05-05T22:31:00Z,AVE-MD,NA,Turista,Promo
2019-04-16T14:37:15Z,MADRID,VALENCIA,2019-05-29T07:40:00Z,2019-05-29T09:20:00Z,AVE,57.75,Turista,Promo
2019-04-28T23:08:07Z,MADRID,SEVILLA,2019-05-06T11:00:00Z,2019-05-06T13:32:00Z,AVE,76.3,Turista,Flexible
2019-04-12T09:09:06Z,MADRID,SEVILLA,2019-05-02T08:30:00Z,2019-05-02T11:14:00Z,ALVIA,NA,Turista,Flexible
2019-04-20T03:32:49Z,MADRID,BARCELONA,2019-05-28T11:30:00Z,2019-05-28T14:40:00Z,AVE,75.4,Turista,Promo
2019-04-25T13:19:31Z,MADRID,VALENCIA,2019-05-08T16:55:00Z,2019-05-08T21:58:00Z,AVE-LD,39.25,Turista con enlace,Promo
2019-04-28T23:23:36Z,SEVILLA,MADRID,2019-05-23T14:58:00Z,2019-05-23T17:50:00Z,ALVIA,61.2,Preferente,Promo
2019-04-21T08:27:01Z,VALENCIA,MADRID,2019-05-31T21:05:00Z,2019-05-31T23:32:00Z,INTERCITY,29.9,Turista,Promo
2019-04-21T15:15:14Z,MADRID,VALENCIA,2019-05-30T14:10:00Z,2019-05-30T16:03:00Z,AVE,33.65,Turista,Promo
2019-04-17T20:02:49Z,BARCELONA,MADRID,2019-05-21T19:25:00Z,2019-05-21T21:55:00Z,AVE,78.8,Turista,Promo
2019-04-30T13:10:38Z,MADRID,VALENCIA,2019-05-13T16:55:00Z,2019-05-13T21:58:00Z,AVE-LD,39.25,Turista con enlace,Promo
2019-05-01T19:23:58Z,MADRID,VALENCIA,2019-05-16T12:21:00Z,2019-05-16T19:04:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-16T14:19:39Z,BARCELONA,MADRID,2019-05-06T05:50:00Z,2019-05-06T08:20:00Z,AVE,85.1,Turista,Promo
2019-04-20T20:37:13Z,MADRID,VALENCIA,2019-05-21T15:10:00Z,2019-05-21T16:52:00Z,AVE,21.95,Turista,Promo
2019-04-11T23:33:10Z,MADRID,VALENCIA,2019-05-05T11:55:00Z,2019-05-05T13:35:00Z,AVE,39.45,Turista,Promo
2019-04-19T21:47:22Z,MADRID,BARCELONA,2019-05-02T21:25:00Z,2019-05-02T23:55:00Z,AVE,49.55,Turista,Promo
2019-05-09T07:23:17Z,VALENCIA,MADRID,2019-05-22T19:10:00Z,2019-05-22T20:50:00Z,AVE,33.65,Turista,Promo
2019-04-29T17:39:47Z,PONFERRADA,MADRID,2019-05-26T17:15:00Z,2019-05-26T23:03:00Z,MD-AVE,39.95,Turista con enlace,Promo +
2019-04-26T07:17:44Z,SEVILLA,MADRID,2019-05-21T08:35:00Z,2019-05-21T15:26:00Z,LD-MD,34.35,Turista con enlace,Promo +
2019-04-25T01:29:08Z,MADRID,VALENCIA,2019-05-17T06:45:00Z,2019-05-17T08:38:00Z,AVE,33.65,Turista,Promo
2019-04-16T17:31:45Z,MADRID,BARCELONA,2019-05-02T09:30:00Z,2019-05-02T12:34:00Z,AVE,85.1,Turista,Promo
2019-04-25T15:08:41Z,MADRID,PONFERRADA,2019-05-21T14:40:00Z,2019-05-21T18:52:00Z,AVE-LD,31.2,Turista con enlace,Promo
